incident_id,regulation_label,status,ringkasan_insiden,teks_pasal,ANOTATOR_relevant,pass2_relevant(test-retest),beda_antar_pass,catatan_anotator,claude_relevant,claude_roles,claude_conf,claude_alasan,BEDA_claude_vs_anotator,PUTUSAN_FINAL_ANDA,CATATAN_ANDA
kemendikbud-leak-claim-2025,UU_PDP_No27_2022 - Pasal 30,gold,"[2025 data_breach] Awal Februari 2025 anggota BreachForums (terindeks via FalconFeeds.io) mengklaim menjual ~25 GB data yang diatribusikan ke Kemendikbudristek (nama, nomor identitas, gender, TTL, telepon, ID provinsi/ko",(1) Pengendali Data Pribadi wajib memperbarui dan/atau memperbaiki kesalahan dan/atau ketidakakuratan Data Pribadi paling lambat 3 x 24 (tiga kali dua puluh empat) jam terhitung sejak Pengendali Data Pribadi menerima per,0,0,,Ps30 (perbaikan data atas permintaan) tidak terpicu oleh kebocoran; provisi salah sasaran.,0,,92,kewajiban koreksi atas permintaan; tak terpicu breach,,,
wannacry-hospitals-2017,UU_PDP_No27_2022 - Pasal 55,gold,"[2017 ransomware] Pada pertengahan Mei 2017, saat wabah WannaCry global, RS Dharmais dan RS Harapan Kita di Jakarta terkena ransomware yang mengenkripsi berkas Windows via kerentanan SMB. Direktur Dharmais melaporkan ham",(1) Pengendali Data Pribadi dapat melakukan transfer Data Pribadi kepada Pengendali Data Pribadi lainnya dalam wilayah hukum Negara Republik Indonesia. (2) Pengendali Data Pribadi yang melakukan transfer Data Pribadi dan,0,0,,Ps55 (transfer data antar-pengendali) tidak relevan dengan ransomware/enkripsi.,0,,95,pasal transfer antar-pengendali; bukan ransomware,,,
indihome-browsing-26m-2022,UU_ITE_No19_2016 - Pasal 45A,gold,"[2022 data_breach] Agustus 2022 'Bjorka' memuat dataset 26.730.798 riwayat browsing pelanggan IndiHome (Agu 2018-Nov 2019) di BreachForums, mencakup tanggal, domain, platform, peramban, URL, plus NIK, email, telepon, dan",(1) Setiap Orang yang dengan sengaja dan tanpa hak menyebarkan berita bohong dan menyesatkan yang mengakibatkan kerugian konsumen dalam Transaksi Elektronik sebagaimana dimaksud dalam Pasal 28 ayat (1) dipidana dengan pi,0,0,,Ps45A ITE (berita bohong/SARA) bukan delik untuk kebocoran data.,0,,95,delik berita bohong; breach bukan hoaks,,,
ugm-ft-website-defacement-2022,UNGA_Res_78_265_Safe_Secure_Trustworthy_AI - Bagian 3,gold,[2022 defacement] Pada Desember 2022 peretas beralias 'Bangsin' merusak tampilan situs 'FIND IT!' FT UGM (findit.ft.ugm.ac.id) dengan pesan 'BANGSIN WAS HERE AGAIN' dan berkas audio. Dilaporkan sebagai insiden berulang o,"Recalling its resolutions 77/320 of 25 July 2023 on the impact of rapid technological change on the achievement of the Sustainable Development Goals and targets, 78/132 of 19 December 2023 on information and communicatio",0,0,,Resolusi UNGA AI-SDG bersifat aspiratif; tidak mengatur defacement situs.,0,,97,recital resolusi; aspiratif non-mengikat,,,
malindo-lionair-30m-2019,UNGA_Res_78_265_Safe_Secure_Trustworthy_AI - Bagian 1,gold,"[2019 data_breach] September 2019 data penumpang anak usaha Lion Air Group, Malindo Air, bocor ke forum, mengeksposur rincian paspor, alamat, dan telepon (data pembayaran dilaporkan tidak terdampak). Peneliti Kaspersky m","United Nations — General Assembly — A/RES/78/265. Distr.: General, 1 April 2024. Seventy-eighth session, Agenda item 13: Integrated and coordinated implementation of and follow-up to the outcomes of the major United Nati",0,0,,Bagian header/preambul resolusi UNGA; bukan aturan operatif.,0,,97,judul/preambul resolusi; bukan warrant,,,
inafis-polri-fingerprint-leak-2024,UU_PDP_No27_2022 - Pasal 6O,gold,"[2024 data_breach] Pada 22 Juni 2024 'MoonzHaxor' mengunggah data dugaan pembobolan INAFIS (citra sidik jari, email, berkas aplikasi SpringBoot) seharga ~USD 1.000. Kepala BSSN berkoordinasi dengan Polri dan menyatakan d","Penjelasan Pasal 60. Huruf a: Dalam hal perumusan dan penetapan kebijakan Pelindungan Data Pribadi, lembaga melibatkan organisasi usaha sesuai dengan ketentuan peraturan perundang-undangan. Huruf b: Cukup jelas. Huruf c:",0,0,,"Penjelasan Ps60 (mayoritas 'cukup jelas'); data forensik kepolisian, bukan provisi operatif.",0,,85,penjelasan ps.60 kelembagaan; bukan norma mengikat pihak,,,
bri-life-data-leak-2021,UU_PDP_No27_2022 - Pasal 67,gold,"[2021 data_breach] Akhir Juli 2021 pengguna RaidForums menawarkan ~460.000 dokumen dari data >2 juta pemegang polis BRI Life seharga ~USD 7.000 disertai video sampel, dilaporkan memuat rincian rekening, salinan KTP, dan ",(1) Setiap Orang yang dengan sengaja dan melawan hukum memperoleh atau mengumpulkan Data Pribadi yang bukan miliknya dengan maksud untuk menguntungkan diri sendiri atau orang lain yang dapat mengakibatkan kerugian Subjek,1,1,,Ps67 (perolehan/pengungkapan data melawan hukum) tepat untuk pelaku penjualan data.,1,pelaku,96,pidana perolehan data melawan hukum oleh penjual data,,,
pln-customer-data-leak-2022,Stranas_AI_Indonesia_2020-2045_Full - Bagian 35,gold,"[2022 data_breach] Agustus 2022 data >17 juta pelanggan PLN ditawarkan di forum peretas (nama, alamat, ID pelanggan, nomor meteran, konsumsi kWh). PLN menyatakan data adalah salinan dashboard publik, bukan sistem transak",Pelaksanaan Peraturan Satu Data Indonesia masih menghadapi sikap silo atau ego-sektoral dari masing-masing pemilik data. Sistem keamanan jaringan dan informasi data yang masih mudah diretas. Infrastruktur digital yang be,0,0,,"Stranas AI = dokumen strategi nasional, bukan aturan operatif.",0,,97,narasi kebijakan Stranas; aspiratif,,,
sri-mulyani-deepfake-2025,SE_Komdigi_No9_2023_Etika_AI - Bagian 1,gold,[2025 ai_disinformation] Pertengahan Agustus 2025 sebuah deepfake memanipulasi rekaman asli pidato Menkeu Sri Mulyani (7 Agustus 2025 di forum ITB) sehingga ia seolah menyebut guru 'beban negara'. Biro komunikasi Kemenke,"Isi Edaran SE Menkominfo No. 9 Tahun 2023 tentang Etika Kecerdasan Artifisial: (1) Penyelenggaraan kemampuan Kecerdasan Artifisial mencakup kegiatan konsultasi, analisis, dan pemrograman. Penggunaan teknologi Kecerdasan ",1,1,,Insiden AI (deepfake) vs SE Etika AI Komdigi sebagai instrumen tata kelola AI domestik (borderline).,0,,90,kop surat edaran; pedoman etis tak mengikat,YA,,
satusehat-kotim-breach-2025,Stranas_AI_Indonesia_2020-2045_Full - Bagian 76,gold,"[2025 data_breach] Sekitar 7 Agustus 2025 pengguna baru forum dark web menawarkan basis data yang diklaim dari instance SatuSehat Kabupaten Kotawaringin Timur, memuat timestamp, nomor rekam medis, nomor BPJS, nama, gende",Informasi yang sebelumnya dilaksanakan oleh Kemenkominfo selanjutnya akan dilaksanakan oleh BSSN. Dalam hal ini Kementerian Komunikasi dan Informatika serta BSSN menjadi pihak-pihak yang bertanggung jawab untuk memastika,0,0,,Stranas AI = strategi; insiden non-AI (kebocoran data kesehatan).,0,,96,narasi transisi kelembagaan; aspiratif,,,
